|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:05:03 |         1.63 |         2.18 |       1.3271 |       2.3846 |      1.0000e-05 |
|       1 |          50 |       00:06:39 |         1.93 |              |       1.8539 |              |      1.0000e-05 |
|       1 |         100 |       00:08:14 |         1.36 |              |       0.9218 |              |      1.0000e-05 |
|       1 |         150 |       00:09:52 |         1.49 |              |       1.1102 |              |      1.0000e-05 |
|       1 |         200 |       00:11:38 |         1.50 |              |       1.1293 |              |      1.0000e-05 |
|       1 |         250 |       00:13:24 |         0.82 |              |       0.3359 |              |      1.0000e-05 |
|       1 |         300 |       00:15:06 |         1.27 |              |       0.8058 |              |      1.0000e-05 |
|       1 |         350 |       00:16:52 |         1.23 |              |       0.7533 |              |      1.0000e-05 |
|       1 |         400 |       00:18:40 |         1.25 |              |       0.7831 |              |      1.0000e-05 |
|       1 |         450 |       00:20:27 |         1.89 |              |       1.7781 |              |      1.0000e-05 |
|       1 |         500 |       00:22:13 |         1.34 |              |       0.8922 |              |      1.0000e-05 |
|       1 |         550 |       00:24:00 |         1.55 |              |       1.1962 |              |      1.0000e-05 |
|       1 |         600 |       00:31:13 |         1.18 |         1.40 |       0.6953 |       0.9761 |      1.0000e-05 |
|       1 |         650 |       00:33:01 |         1.47 |              |       1.0829 |              |      1.0000e-05 |
|       1 |         700 |       00:34:48 |         1.50 |              |       1.1240 |              |      1.0000e-05 |
|       1 |         750 |       00:36:34 |         1.05 |              |       0.5516 |              |      1.0000e-05 |
|       1 |         800 |       00:38:22 |         1.38 |              |       0.9582 |              |      1.0000e-05 |
|       1 |         850 |       00:40:09 |         0.96 |              |       0.4632 |              |      1.0000e-05 |
|       1 |         900 |       00:41:56 |         1.27 |              |       0.8059 |              |      1.0000e-05 |
|       1 |         950 |       00:43:42 |         1.57 |              |       1.2314 |              |      1.0000e-05 |
|       1 |        1000 |       00:45:29 |         1.15 |              |       0.6618 |              |      1.0000e-05 |
|       1 |        1050 |       00:47:16 |         1.47 |              |       1.0769 |              |      1.0000e-05 |
|       1 |        1100 |       00:49:03 |         1.31 |              |       0.8516 |              |      1.0000e-05 |
|       1 |        1150 |       00:50:50 |         1.33 |              |       0.8834 |              |      1.0000e-05 |
|       1 |        1200 |       00:58:01 |         1.66 |         1.36 |       1.3728 |       0.9184 |      1.0000e-05 |
